$FLYS,1,,,,,,,,,,,
$VAR,FIRMWARE_VER,v2024.06.09.starter_pistol,,,,,,,,,,
$VAR,DEVICE_ID,0017003b3253501720373657,,,,,,,,,,
$VAR,SESSION_ID,724fd609f62a5cb068670fc0,,,,,,,,,,
$COL,GNSS,time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,numSV
$UNIT,GNSS,,deg,deg,m,m/s,m/s,m/s,m,m,m/s,
$DATA,,,,,,,,,,,,
$GNSS,2020-10-29T17:42:18.200Z,,40.5925258,-111.7205932,3396.883,-0.04,-0.15,0.22,0.469,0.761,0.32,
$GNSS,2020-10-29T17:42:18.400Z,,40.5925257,-111.7205934,3396.868,-0.13,-0.08,0.09,0.477,0.773,0.28,
$GNSS,2020-10-29T17:42:18.600Z,,40.5925256,-111.7205936,3396.871,-0.04,-0.07,0.15,0.485,0.784,0.3,
$GNSS,2020-10-29T17:42:18.800Z,,40.5925255,-111.7205935,3396.848,-0.05,0.1,0.25,0.493,0.796,0.26,
$GNSS,2020-10-29T17:42:19.000Z,,40.5925255,-111.7205933,3396.843,0,0.04,0.13,0.501,0.807,0.27,
$GNSS,2020-10-29T17:42:19.200Z,,40.5925256,-111.7205931,3396.833,0.09,0.12,0.12,0.508,0.818,0.24,
$GNSS,2020-10-29T17:42:19.400Z,,40.5925257,-111.7205927,3396.828,-0.01,0.17,0.13,0.516,0.83,0.24,
$GNSS,2020-10-29T17:42:19.600Z,,40.5925257,-111.7205924,3396.811,-0.01,0.04,0.16,0.523,0.841,0.27,
$GNSS,2020-10-29T17:42:19.800Z,,40.5925258,-111.7205923,3396.8,0.04,0.03,0.02,0.532,0.851,0.25,
$GNSS,2020-10-29T17:42:20.000Z,,40.5925258,-111.7205924,3396.803,-0.02,-0.07,0.09,0.54,0.862,0.32,
$GNSS,2020-10-29T17:42:20.200Z,,40.5925259,-111.7205924,3396.844,0.07,-0.01,-0.14,0.547,0.871,0.27,
$GNSS,2020-10-29T17:42:20.400Z,,40.592526,-111.7205923,3396.866,0.05,0.07,0.01,0.554,0.881,0.22,
$GNSS,2020-10-29T17:42:20.600Z,,40.5925261,-111.7205921,3396.852,-0.06,0.05,0.03,0.561,0.89,0.28,
$GNSS,2020-10-29T17:42:20.800Z,,40.5925259,-111.720592,3396.819,-0.18,0.01,0.09,0.568,0.9,0.26,
$GNSS,2020-10-29T17:42:21.000Z,,40.5925257,-111.720592,3396.797,-0.01,-0.01,0.02,0.575,0.909,0.28,
$GNSS,2020-10-29T17:42:21.200Z,,40.5925256,-111.720592,3396.78,-0.15,-0.07,0.18,0.582,0.918,0.26,
$GNSS,2020-10-29T17:42:21.400Z,,40.5925254,-111.720592,3396.749,-0.13,0.02,0.14,0.589,0.927,0.26,
$GNSS,2020-10-29T17:42:21.600Z,,40.5925252,-111.7205918,3396.707,-0.06,0.21,0.2,0.595,0.935,0.24,
$GNSS,2020-10-29T17:42:21.800Z,,40.5925251,-111.7205915,3396.664,-0.15,-0.03,0.39,0.601,0.943,0.28,
$GNSS,2020-10-29T17:42:22.000Z,,40.5925249,-111.7205914,3396.641,-0.04,0.05,0.16,0.606,0.951,0.26,
$GNSS,2020-10-29T17:42:22.200Z,,40.5925249,-111.7205912,3396.637,-0.06,0.07,0.01,0.61,0.959,0.25,
$GNSS,2020-10-29T17:42:22.400Z,,40.5925248,-111.7205911,3396.625,-0.08,0.09,0.1,0.615,0.967,0.24,
$GNSS,2020-10-29T17:42:22.600Z,,40.5925248,-111.7205909,3396.614,0.07,0.06,-0.07,0.619,0.974,0.28,
$GNSS,2020-10-29T17:42:22.800Z,,40.5925249,-111.7205909,3396.625,0.01,0.01,-0.09,0.624,0.981,0.3,
$GNSS,2020-10-29T17:42:23.000Z,,40.5925248,-111.720591,3396.609,-0.12,-0.03,0.12,0.628,0.988,0.27,
$GNSS,2020-10-29T17:42:23.200Z,,40.5925246,-111.720591,3396.572,-0.09,0.05,0.18,0.631,0.995,0.26,
$GNSS,2020-10-29T17:42:23.400Z,,40.5925243,-111.7205909,3396.522,-0.3,0.03,0.36,0.635,1.002,0.26,
$GNSS,2020-10-29T17:42:23.600Z,,40.5925237,-111.7205907,3396.428,-0.29,0.16,0.49,0.639,1.009,0.25,
$GNSS,2020-10-29T17:42:23.800Z,,40.5925232,-111.7205904,3396.293,-0.37,0.23,0.54,0.642,1.017,0.27,
$GNSS,2020-10-29T17:42:24.000Z,,40.5925223,-111.72059,3396.099,-0.57,0.16,1.09,0.645,1.025,0.29,
$GNSS,2020-10-29T17:42:24.200Z,,40.5925209,-111.7205893,3395.803,-0.99,0.48,1.88,0.649,1.034,0.3,
$GNSS,2020-10-29T17:42:24.400Z,,40.5925166,-111.7205876,3395.461,-3.82,0.99,1.12,0.655,1.047,0.27,
$GNSS,2020-10-29T17:42:24.600Z,,40.592511,-111.720585,3395.207,-2.4,1.17,1.43,0.659,1.057,0.22,
$GNSS,2020-10-29T17:42:24.800Z,,40.5925047,-111.7205818,3394.456,-4.47,1.64,5.89,0.665,1.067,0.27,
$GNSS,2020-10-29T17:42:25.000Z,,40.5924974,-111.7205786,3393.059,-3.82,1.24,7.56,0.672,1.076,0.27,
$GNSS,2020-10-29T17:42:25.200Z,,40.5924907,-111.7205757,3391.333,-3.75,1.31,9.26,0.679,1.087,0.28,
$GNSS,2020-10-29T17:42:25.400Z,,40.592484,-111.7205728,3389.296,-3.69,1.29,10.82,0.685,1.098,0.29,
$GNSS,2020-10-29T17:42:25.600Z,,40.5924772,-111.72057,3386.915,-3.88,1.21,12.6,0.69,1.108,0.29,
$GNSS,2020-10-29T17:42:25.800Z,,40.5924699,-111.720567,3384.233,-4.2,1.32,14.36,0.695,1.119,0.31,
$GNSS,2020-10-29T17:42:26.000Z,,40.5924623,-111.7205636,3381.119,-4.33,1.57,16.19,0.7,1.132,0.32,
$GNSS,2020-10-29T17:42:26.200Z,,40.5924543,-111.7205604,3377.672,-4.42,1.23,17.92,0.706,1.147,0.34,
$GNSS,2020-10-29T17:42:26.400Z,,40.5924457,-111.7205571,3373.894,-5.1,1.58,19.41,0.712,1.163,0.35,
$GNSS,2020-10-29T17:42:26.600Z,,40.5924356,-111.7205533,3369.859,-6.12,1.64,20.5,0.718,1.179,0.35,
